customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,is_new_customer,is_long_term,total_revenue,charge_category,charge_ratio,num_services,is_monthly_contract,paperless_billing_binary,family_size
3167-SNQPL,Male,1,Yes,Yes,38,Yes,No,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,No,"Electronic check",101.15,1398.6,0,"2-4 years",0,0,3843.7,High,0.363773,4,1,0,2
6905-NIQIN,Male,0,No,No,1,Yes,No,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,No,"Mailed check",70.4,50.65,1,"0-1 year",1,0,70.4,High,0.709384,2,1,0,0
3898-GUYTS,Male,1,No,No,45,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",97.05,4385.05,0,"2-4 years",0,0,4367.25,High,1.00385,4,1,1,0
8499-BRXTD,Male,0,No,No,18,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",20.1,401.85,0,"1-2 years",0,0,361.8,Low,1.10764,1,0,0,0
1142-WACZW,Male,0,No,No,2,No,"No phone service",DSL,No,No,No,Yes,No,No,Month-to-month,No,"Bank transfer (automatic)",70.4,1398.6,1,"0-1 year",1,0,140.8,High,9.86319,1,1,0,2
4629-NRXKX,Female,0,Yes,Yes,2,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Electronic check",70.4,1398.6,1,"0-1 year",1,0,140.8,High,9.86319,1,1,0,2
0953-LGOVU,Male,0,Yes,Yes,12,No,"No phone service","Fiber optic",No,Yes,No,Yes,No,No,Month-to-month,No,"Electronic check",35.5,432.25,0,"0-1 year",0,0,426,Medium,1.0123,2,1,0,2
7169-YWAMK,Male,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,"Two year",No,"Bank transfer (automatic)",68.4,4855.35,0,"4+ years",0,1,4924.8,Medium,0.985698,5,0,0,2
7315-WYOAW,Male,0,No,No,13,Yes,Yes,"Fiber optic",No,No,No,Yes,Yes,Yes,Month-to-month,No,"Electronic check",100.75,1313.25,0,"1-2 years",0,0,1309.75,High,1.00191,4,1,0,0
7779-LGOVN,Male,1,Yes,No,10,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",86.65,856.65,1,"0-1 year",1,0,866.5,High,0.987493,2,1,1,1
3312-ZWLGF,Male,1,Yes,No,29,Yes,Yes,"Fiber optic",No,No,No,Yes,No,No,Month-to-month,Yes,"Electronic check",79.3,2414.55,0,"2-4 years",0,0,2299.7,High,1.04948,2,1,1,1
9685-WKZGT,Male,1,No,No,29,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.95,1036.75,1,"2-4 years",0,0,2173.55,High,0.476765,1,1,1,0
5917-HBSDW,Female,0,Yes,Yes,37,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",19.35,683.75,0,"2-4 years",0,0,715.95,Low,0.953693,1,1,0,2
8443-WVPSS,Male,0,Yes,No,10,Yes,No,"Fiber optic",No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",70.4,990.9,1,"0-1 year",1,0,704,High,1.40553,5,1,1,1
7666-WKRON,Male,0,No,No,39,Yes,No,"Fiber optic",No,No,Yes,Yes,No,No,"Two year",Yes,"Electronic check",80.45,3201.55,1,"2-4 years",0,0,3137.55,High,1.02007,3,0,1,0
4291-HPAXL,Male,0,No,Yes,1,Yes,No,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.85,19.85,0,"0-1 year",1,0,19.85,Low,0.952038,1,1,0,0
1135-LMECX,Female,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.85,19.85,0,"0-1 year",1,0,19.85,Low,0.952038,1,1,0,0
2324-AALNO,Male,0,No,No,48,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Bank transfer (automatic)",24.55,1203.95,0,"2-4 years",0,0,1178.4,Low,1.02082,1,0,0,0
8752-STIVR,Female,0,No,No,4,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",79,303.15,1,"0-1 year",1,0,316,High,0.956309,2,1,1,0
3887-PBQAO,Male,0,Yes,Yes,45,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Credit card (automatic)",25.9,1216.6,0,"2-4 years",0,0,1165.5,Low,1.04295,1,0,1,2
3594-UVONA,Female,0,No,No,35,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,"One year",Yes,"Credit card (automatic)",85.95,3110.1,1,"2-4 years",0,0,3008.25,High,1.03351,5,0,1,0
1346-UFHAX,Female,0,No,No,13,Yes,Yes,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Credit card (automatic)",80,1029.35,0,"1-2 years",0,0,1040,High,0.988809,2,1,1,0
3737-GCSPV,Female,0,No,No,11,Yes,Yes,"Fiber optic",Yes,No,No,Yes,Yes,No,Month-to-month,Yes,"Credit card (automatic)",96.2,1222.05,1,"0-1 year",1,0,1058.2,High,1.15375,4,1,1,0
6248-TKCQV,Female,0,Yes,No,70,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",80.6,5460.2,0,"4+ years",0,1,5642,High,0.967606,5,0,1,1
8229-BUJHX,Female,0,Yes,Yes,29,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",20.5,1500.95,0,"2-4 years",0,0,594.5,Low,2.52049,1,0,0,2
2070-FNEXE,Male,1,No,No,7,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,No,"Bank transfer (automatic)",76.45,503.6,1,"0-1 year",1,0,535.15,High,0.939289,2,1,0,0
7901-IIDQV,Male,0,No,No,24,Yes,Yes,DSL,No,No,No,Yes,No,No,"One year",No,"Bank transfer (automatic)",54.6,1242.25,0,"1-2 years",0,0,1310.4,Medium,0.94727,2,0,0,0
3069-SSVSN,Female,0,No,No,1,No,"No phone service",DSL,No,No,No,No,No,No,"One year",No,"Mailed check",25.85,25.85,0,"0-1 year",1,0,25.85,Low,0.962756,0,0,0,0
8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,"Two year",No,"Bank transfer (automatic)",50.55,3260.1,0,"4+ years",0,1,3386.85,Medium,0.962292,2,0,0,0
1157-BQCUW,Male,0,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.95,74.95,1,"0-1 year",1,0,74.95,High,0.986833,1,1,1,0
5445-PZWGX,Male,0,No,No,62,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,No,Yes,"One year",No,"Electronic check",70.4,6529.25,1,"4+ years",0,1,4364.8,High,1.49554,5,0,0,0
5887-IKKYO,Male,0,Yes,Yes,58,Yes,Yes,"Fiber optic",No,No,Yes,Yes,No,Yes,Month-to-month,No,"Bank transfer (automatic)",94.35,5563.65,0,"4+ years",0,1,5472.3,High,1.01651,4,1,0,2
6746-WAUWT,Male,0,No,No,19,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Electronic check",19.7,386.5,0,"1-2 years",0,0,374.3,Low,1.02984,1,0,1,0
